id,url,name,description,owner,owner_type,owner_image_url,created_at,updated_at,homepage_url,repo_size_kb,license,num_stars,num_forks,is_fork,topics,is_archived,default_branch,main_language,has_projects,has_wiki,has_pages,has_discussions,has_issues,info_url
452075755,https://github.com/CullomCahill/OBH_Predictors,OBH_Predictors,Predictors at intake of OBH client Success using logistic regression,CullomCahill,User,https://avatars.githubusercontent.com/u/87832630?v=4,2022-01-25T23:26:40Z,2022-02-01T20:54:39Z,,775,,0,0,False,[],False,main,HTML,True,True,False,False,True,https://api.github.com/repos/CullomCahill/OBH_Predictors
203219694,https://github.com/rbjanis/Dissertation,Dissertation,,rbjanis,User,https://avatars.githubusercontent.com/u/8092881?v=4,2019-08-19T17:33:58Z,2020-06-28T22:25:18Z,,9617,,0,0,False,[],False,master,R,True,True,False,False,True,https://api.github.com/repos/rbjanis/Dissertation
125217651,https://github.com/ktrang1/coding-the-mind,coding-the-mind,,ktrang1,User,https://avatars.githubusercontent.com/u/18566342?v=4,2018-03-14T13:35:21Z,2018-04-18T21:56:25Z,,51,,1,1,False,[],False,master,,True,True,False,False,True,https://api.github.com/repos/ktrang1/coding-the-mind
