id,url,name,description,owner,owner_type,owner_image_url,created_at,updated_at,homepage_url,repo_size_kb,license,num_stars,num_forks,is_fork,topics,is_archived,default_branch,main_language,has_projects,has_wiki,has_pages,has_discussions,has_issues,info_url
31979038,https://github.com/ResearchKit/ResearchKit,ResearchKit,ResearchKit is an open source software framework that makes it easy to create apps for medical research or for other research projects.,ResearchKit,Organization,https://avatars.githubusercontent.com/u/11183179?v=4,2015-03-10T20:05:32Z,2024-03-12T12:39:10Z,https://www.researchandcare.org,65566,Other,5578,1158,False,[],False,main,Objective-C,True,True,False,False,True,https://api.github.com/repos/ResearchKit/ResearchKit
29887499,https://github.com/dkhamsing/open-source-ios-apps,open-source-ios-apps,:iphone: Collaborative List of Open-Source iOS Apps,dkhamsing,User,https://avatars.githubusercontent.com/u/4723115?v=4,2015-01-26T23:32:34Z,2024-03-13T12:52:08Z,,24720,Creative Commons Zero v1.0 Universal,38555,5234,False,"['app', 'apple', 'apple-tv', 'apple-vision-pro', 'apple-watch', 'awesome', 'cocoapods', 'example', 'flutter', 'game', 'ios', 'ipad', 'iphone', 'list', 'objective-c', 'react-native', 'swift', 'swiftui', 'tvos', 'watchos']",False,master,,False,True,False,False,True,https://api.github.com/repos/dkhamsing/open-source-ios-apps
32882828,https://github.com/ResearchKit/AppCore,AppCore,Core code shared by the initial ResearchKit apps.,ResearchKit,Organization,https://avatars.githubusercontent.com/u/11183179?v=4,2015-03-25T18:22:27Z,2024-03-12T12:39:13Z,,145565,Other,261,87,False,[],False,master,Objective-C,True,True,False,False,True,https://api.github.com/repos/ResearchKit/AppCore
70559043,https://github.com/aizexin/AIAnimationDemo,AIAnimationDemo,参考youxianming动画,aizexin,User,https://avatars.githubusercontent.com/u/13853679?v=4,2016-10-11T05:26:28Z,2023-10-19T09:47:53Z,,66476,,505,123,False,[],False,master,Objective-C,True,True,False,False,True,https://api.github.com/repos/aizexin/AIAnimationDemo
43707061,https://github.com/ResearchStack/ResearchStack,ResearchStack,An SDK for building research study apps on Android.,ResearchStack,Organization,https://avatars.githubusercontent.com/u/15782830?v=4,2015-10-05T19:04:26Z,2023-12-21T06:21:51Z,http://researchstack.org,18719,Apache License 2.0,152,81,False,[],False,master,Java,True,True,True,False,True,https://api.github.com/repos/ResearchStack/ResearchStack
339670975,https://github.com/QuickBirdEng/survey_kit,survey_kit,Flutter library to create beautiful surveys (aligned with ResearchKit on iOS),QuickBirdEng,Organization,https://avatars.githubusercontent.com/u/33484171?v=4,2021-02-17T09:27:59Z,2024-02-06T01:23:27Z,,2645,MIT License,118,83,False,"['clinical-trials', 'dart', 'data', 'flutter', 'flutter-library', 'flutter-package', 'flutter-plugin', 'flutter-ui', 'flutter-widget', 'forms', 'ios-researchkit-surveys', 'medical', 'poll', 'research', 'study-conduct', 'survey']",False,main,Dart,True,True,False,False,True,https://api.github.com/repos/QuickBirdEng/survey_kit
32883184,https://github.com/ResearchKit/mPower,mPower,"ResearchKit app studying Parkinson's disease, developed by Sage Bionetworks and University of Rochester.",ResearchKit,Organization,https://avatars.githubusercontent.com/u/11183179?v=4,2015-03-25T18:29:21Z,2024-03-12T12:39:13Z,,66840,"BSD 3-Clause ""New"" or ""Revised"" License",91,54,False,[],False,master,Objective-C,True,True,False,False,True,https://api.github.com/repos/ResearchKit/mPower
205750373,https://github.com/CardinalKit/CardinalKit,CardinalKit,"Open-source framework for rapid development of modern, interoperable digital health applications on iOS devices",CardinalKit,Organization,https://avatars.githubusercontent.com/u/63477520?v=4,2019-09-02T00:46:25Z,2024-02-11T12:33:56Z,https://cardinalkit.org,124459,MIT License,155,53,False,"['firebase', 'healthkit', 'mhealth', 'researchkit', 'swift']",False,main,Swift,True,True,False,True,True,https://api.github.com/repos/CardinalKit/CardinalKit
32883164,https://github.com/ResearchKit/GlucoSuccess,GlucoSuccess,"ResearchKit app studying Diabetes, developed by Massachusetts General Hospital.",ResearchKit,Organization,https://avatars.githubusercontent.com/u/11183179?v=4,2015-03-25T18:28:53Z,2023-07-06T23:38:57Z,,18505,Other,98,46,False,[],False,master,Objective-C,True,True,False,False,True,https://api.github.com/repos/ResearchKit/GlucoSuccess
47940809,https://github.com/DerLobi/Depressed,Depressed,Swift iOS app that tests if you are depressed,DerLobi,User,https://avatars.githubusercontent.com/u/1935447?v=4,2015-12-13T23:23:59Z,2023-12-23T09:50:19Z,,13556,MIT License,95,30,False,[],False,develop,Swift,True,True,False,False,True,https://api.github.com/repos/DerLobi/Depressed
